year,country_origin_id,,country_destination_id,import_names,import_val,import_val_pct,et_destination
2016,ETH,Ethiopia,DOM,Dominican Republic,6477,0.00%,0
2016,ETH,Ethiopia,ECU,Ecuador,331740.63,0.00%,0
2016,ETH,Ethiopia,EGY,Egypt,212271849.6,1.20%,0
2016,ETH,Ethiopia,SLV,El Salvador,115147.89,0.00%,0
2016,ETH,Ethiopia,EST,Estonia,1121901.64,0.01%,0
2016,ETH,Ethiopia,FIN,Finland,29245860.29,0.16%,0
2016,ETH,Ethiopia,FRA,France,517792200.8,2.90%,1
2016,ETH,Ethiopia,GAB,Gabon,106997,0.00%,3
2016,ETH,Ethiopia,GEO,Georgia,233016,0.00%,0
2016,ETH,Ethiopia,DEU,Germany,358790594.5,2.00%,2
2016,ETH,Ethiopia,GHA,Ghana,697090,0.00%,2
2016,ETH,Ethiopia,GRC,Greece,28621885.22,0.16%,0
2016,ETH,Ethiopia,GTM,Guatemala,70767.65,0.00%,0
2016,ETH,Ethiopia,GIN,Guinea,774124,0.00%,2
2016,ETH,Ethiopia,GNB,Guinea-Bissau,4429,0.00%,2
2016,ETH,Ethiopia,HTI,Haiti,54997.31,0.00%,0
2016,ETH,Ethiopia,HKG,Hong Kong SAR China,138459425.8,0.77%,1
2016,ETH,Ethiopia,HUN,Hungary,28624196.66,0.16%,0
2016,ETH,Ethiopia,ISL,Iceland,1163033.22,0.01%,0
2016,ETH,Ethiopia,IND,India,1303096220,7.30%,2
2016,ETH,Ethiopia,IDN,Indonesia,281062159.9,1.60%,0
2016,ETH,Ethiopia,IRN,Iran,10840417.05,0.06%,0
2016,ETH,Ethiopia,IRQ,Iraq,34908.47,0.00%,0
2016,ETH,Ethiopia,IRL,Ireland,42742743.17,0.24%,1
2016,ETH,Ethiopia,ISR,Israel,38424401.06,0.21%,1
2016,ETH,Ethiopia,ITA,Italy,700557890.3,3.90%,2
2016,ETH,Ethiopia,CIV,Ivory Coast,410739.71,0.00%,3
2016,ETH,Ethiopia,JAM,Jamaica,8836,0.00%,0
2016,ETH,Ethiopia,JPN,Japan,540106329.7,3.00%,1
2016,ETH,Ethiopia,JOR,Jordan,5617455.39,0.03%,0
2016,ETH,Ethiopia,KAZ,Kazakhstan,589303.2,0.00%,0
2016,ETH,Ethiopia,KEN,Kenya,37404049.77,0.21%,3
2016,ETH,Ethiopia,KWT,Kuwait,1001498453,5.60%,1
2016,ETH,Ethiopia,KGZ,Kyrgyzstan,1558865.32,0.01%,0
2016,ETH,Ethiopia,LVA,Latvia,11058201.13,0.06%,0
2016,ETH,Ethiopia,LBN,Lebanon,6175373.11,0.03%,1
2016,ETH,Ethiopia,LBR,Liberia,191744,0.00%,1
2016,ETH,Ethiopia,LTU,Lithuania,4316366.44,0.02%,0
2016,ETH,Ethiopia,MKD,Macedonia,5178,0.00%,0
2016,ETH,Ethiopia,MDG,Madagascar,101477.2,0.00%,2
2016,ETH,Ethiopia,MWI,Malawi,2779707.31,0.02%,3
2016,ETH,Ethiopia,MYS,Malaysia,266807836.3,1.50%,1
2016,ETH,Ethiopia,MLI,Mali,3248548.93,0.02%,1
2016,ETH,Ethiopia,MLT,Malta,870898.49,0.00%,0
2016,ETH,Ethiopia,MUS,Mauritius,499800.63,0.00%,0
2016,ETH,Ethiopia,MEX,Mexico,7202251.57,0.04%,0
